ENTIDAD,NOMBRE ENTIDAD,DISTRITO,MUNICIPIO,NOMBRE MUNICIPIO,LOCALIDAD,NOMBRE LOCALIDAD,full_distrito
29,TLAXCALA,1,3,APIZACO,1,APIZACO,1-APIZACO
29,TLAXCALA,2,33,TLAXCALA,1,TLAXCALA DE XICOHTENCATL,2-TLAXCALA
29,TLAXCALA,3,44,ZACATELCO,1,ZACATELCO,3-ZACATELCO
16,MICHOACAN,1,50,LAZARO CARDENAS,1,LAZARO CARDENAS,1-LAZARO CARDENAS
16,MICHOACAN,2,72,PURUANDIRO,1,PURUANDIRO,2-PURUANDIRO
16,MICHOACAN,3,113,ZITACUARO,1,HEROICA ZITACUARO,3-ZITACUARO
16,MICHOACAN,4,45,JIQUILPAN,1,JIQUILPAN DE JUAREZ,4-JIQUILPAN
16,MICHOACAN,5,109,ZAMORA,1,ZAMORA DE HIDALGO,5-ZAMORA
16,MICHOACAN,6,34,HIDALGO,1,CIUDAD HIDALGO,6-HIDALGO
16,MICHOACAN,7,108,ZACAPU,1,ZACAPU,7-ZACAPU
16,MICHOACAN,8,54,MORELIA,1,MORELIA,8-MORELIA
16,MICHOACAN,9,103,URUAPAN,1,URUAPAN DEL PROGRESO,9-URUAPAN
16,MICHOACAN,10,54,MORELIA,1,MORELIA,10-MORELIA
16,MICHOACAN,11,67,PATZCUARO,1,PATZCUARO,11-PATZCUARO
16,MICHOACAN,12,6,APATZINGAN,1,APATZINGAN DE LA CONSTITUCION,12-APATZINGAN
6,COLIMA,1,1,COLIMA,1,COLIMA,1-COLIMA
6,COLIMA,2,8,MANZANILLO,1,MANZANILLO,2-MANZANILLO
10,DURANGO,1,5,DURANGO,1,VICTORIA DE DURANGO,1-DURANGO
10,DURANGO,2,7,GOMEZ PALACIO,1,GOMEZ PALACIO,2-GOMEZ PALACIO
10,DURANGO,3,8,GUADALUPE VICTORIA,1,GUADALUPE VICTORIA,3-GUADALUPE VICTORIA
10,DURANGO,4,5,DURANGO,1,VICTORIA DE DURANGO,4-DURANGO
21,PUEBLA,1,72,HUAUCHINANGO,1,HUAUCHINANGO DE DEGOLLADO,1-HUAUCHINANGO
21,PUEBLA,2,208,ZACATLAN,14,CUAUTILULCO BARRIO,2-ZACATLAN
21,PUEBLA,3,173,TEZIUTLAN,1,TEZIUTLAN,3-TEZIUTLAN
21,PUEBLA,4,10,AJALPAN,1,AJALPAN,4-AJALPAN
21,PUEBLA,5,133,SAN MARTIN TEXMELUCAN,1,SAN MARTIN TEXMELUCAN DE LABASTIDA,5-SAN MARTIN TEXMELUCAN
21,PUEBLA,6,115,PUEBLA,1,HEROICA PUEBLA DE ZARAGOZA,6-PUEBLA
21,PUEBLA,7,163,TEPEACA,1,TEPEACA,7-TEPEACA
21,PUEBLA,8,46,CHALCHICOMULA DE SESMA,1,CIUDAD SERDAN,8-CHALCHICOMULA DE SESMA
21,PUEBLA,9,115,PUEBLA,1,HEROICA PUEBLA DE ZARAGOZA,9-PUEBLA
21,PUEBLA,10,141,SAN PEDRO CHOLULA,1,CHOLULA DE RIVADAVIA,10-SAN PEDRO CHOLULA
21,PUEBLA,11,115,PUEBLA,1,HEROICA PUEBLA DE ZARAGOZA,11-PUEBLA
21,PUEBLA,12,115,PUEBLA,1,HEROICA PUEBLA DE ZARAGOZA,12-PUEBLA
21,PUEBLA,13,19,ATLIXCO,1,ATLIXCO,13-ATLIXCO
21,PUEBLA,14,3,ACATLAN,1,ACATLAN DE OSORIO,14-ACATLAN
21,PUEBLA,15,155,TEHUACAN,1,TEHUACAN,15-TEHUACAN
30,VERACRUZ,1,124,PANUCO,1,PANUCO,1-PANUCO
30,VERACRUZ,2,156,TANTOYUCA,1,TANTOYUCA,2-TANTOYUCA
30,VERACRUZ,3,188,TUXPAN,1,TUXPAN DE RODRIGUEZ CANO,3-TUXPAN
30,VERACRUZ,4,192,VERACRUZ,1,VERACRUZ,4-VERACRUZ
30,VERACRUZ,5,132,POZA RICA DE HIDALGO,1,POZA RICA DE HIDALGO,5-POZA RICA DE HIDALGO
30,VERACRUZ,6,125,PAPANTLA,1,PAPANTLA DE OLARTE,6-PAPANTLA
30,VERACRUZ,7,103,MARTINEZ DE LA TORRE,1,MARTINEZ DE LA TORRE,7-MARTINEZ DE LA TORRE
30,VERACRUZ,8,89,XALAPA,1,XALAPA,8-XALAPA
30,VERACRUZ,9,40,COATEPEC,1,COATEPEC,9-COATEPEC
30,VERACRUZ,10,89,XALAPA,1,XALAPA,10-XALAPA
30,VERACRUZ,11,41,COATZACOALCOS,1,COATZACOALCOS,11-COATZACOALCOS
30,VERACRUZ,12,192,VERACRUZ,1,VERACRUZ,12-VERACRUZ
30,VERACRUZ,13,73,HUATUSCO,1,HUATUSCO,13-HUATUSCO
30,VERACRUZ,14,109,MINATITLAN,1,MINATITLAN,14-MINATITLAN
30,VERACRUZ,15,119,ORIZABA,1,ORIZABA,15-ORIZABA
30,VERACRUZ,16,46,CORDOBA,1,CORDOBA,16-CORDOBA
30,VERACRUZ,17,47,COSAMALOAPAN,1,COSAMALOAPAN,17-COSAMALOAPAN
30,VERACRUZ,18,201,ZONGOLICA,1,ZONGOLICA,18-ZONGOLICA
30,VERACRUZ,19,142,SAN ANDRES TUXTLA,1,SAN ANDRES TUXTLA,19-SAN ANDRES TUXTLA
30,VERACRUZ,20,50,COSOLEACAQUE,1,COSOLEACAQUE,20-COSOLEACAQUE
5,COAHUILA,1,25,PIEDRAS NEGRAS,1,PIEDRAS NEGRAS,1-PIEDRAS NEGRAS
5,COAHUILA,2,33,SAN PEDRO,1,SAN PEDRO,2-SAN PEDRO
5,COAHUILA,3,18,MONCLOVA,1,MONCLOVA,3-MONCLOVA
5,COAHUILA,4,30,SALTILLO,1,SALTILLO,4-SALTILLO
5,COAHUILA,5,35,TORREON,1,TORREON,5-TORREON
5,COAHUILA,6,35,TORREON,1,TORREON,6-TORREON
5,COAHUILA,7,30,SALTILLO,1,SALTILLO,7-SALTILLO
17,MORELOS,1,7,CUERNAVACA,1,CUERNAVACA,1-CUERNAVACA
17,MORELOS,2,11,JIUTEPEC,1,JIUTEPEC,2-JIUTEPEC
17,MORELOS,3,6,CUAUTLA,1,CUAUTLA,3-CUAUTLA
